"#",PROG CODE,INSTITUTION NAME,PROGRAMME NAME,2015 CUTOFF,2016 CUTOFF,2017 CUTOFF,2018 CUTOFF,2019 CUTOFF,2020 CUTOFF,2021 CUTOFF
BACHELOR OF ARTS,,,,,,,,,,
BACHELOR OF SCIENCE (COMPUTER SCIENCE),,,,,,,,,,
1,1176115,LAIKIPIA UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),36.766,32.682,27.186,28.242,25.422,25.574,19.223
2,1246115,MURANGA UNIVERSITY OF TECHNOLOGY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),-,24.574,27.286,28.599,30.009,32.086,31.734
3,1057115,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),42.207,39.399,38.035,37.208,38.559,38.76,35.309
4,1073115,RONGO UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),32.134,31.699,26.233,25.013,24.943,19.481,19.223
5,1078115,AFRICA NAZARENE UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),28.575,26.695,27.142,33.178,35.161,36.409,37.504
6,1079115,KIRINYAGA UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),-,23.743,24.825,24.126,24.879,24.931,19.223
7,1082115,MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),35.061,36.874,33.847,33.065,35.165,35.965,34.082
8,1093115,UNIVERSITY OF EMBU,BACHELOR OF SCIENCE (COMPUTER SCIENCE),35.271,23.174,25.988,23.676,24.946,24.12,19.223
9,1105115,CHUKA UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),33.08,34.891,34.219,31.983,34.108,34.534,33.917
10,1108115,KIBABII UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),35.23,24.246,28.65,27.173,26.652,28.955,25.988
11,1111115,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),44.268,42.779,41.958,41.559,42.442,41.828,42.474
12,1117115,PWANI UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),39.617,36.666,35.122,32.146,34.32,33.94,32.972
13,1118115,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (COMPUTER SCIENCE),36.092,30.492,30.44,27.168,25.805,27.916,26.731
14,1165115,MAASAI MARA UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),36.228,32.17,30.43,29.185,29.649,30.669,19.223
15,1166115,SOUTH EASTERN KENYA UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),32.889,32.935,26.989,25.364,25.44,19.481,19.223
16,1169115,KENYA HIGHLANDS EVANGELICAL UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),23,23.214,-,25.045,-,19.481,19.223
17,1170115,MACHAKOS UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),37.151,32.524,32.638,30.396,33.343,34.523,31.822
18,1229115,MASENO UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),40.245,39.079,36.051,34.28,36.696,36.506,36.045
19,1253115,MOI UNIVERSITY,BACHELOR OF SCIENCE (COMPUTER SCIENCE),43.519,40.713,39.311,38.579,40.064,40.392,39.701
20,1263115,UNIVERSITY OF NAIROBI,BACHELOR OF SCIENCE (COMPUTER SCIENCE),44.824,43.825,42.986,42.466,43.666,43.162,44.178
